PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-11,19:09:48.42,1,1,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Gomez, Dario",813380,Right,LAK_ERI24,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.08503,-0.581706,-1.745745,2285.809842,232.93704,1:45,5.1651,1.47321,5.87809,-23.77245,10.9052,12.8878,2.64355,0.92535,81.77922,-5.039971,0.566834,0.423834,,,,,,,,,,,,-7.06634,6.10311,-1.33934,50,5.10446,3.41905,-130.72448,-2.1176,-12.13772,29.45276,-21.69083,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,248fe000-5eac-11f0-b252-cb217f1be21b,88.93203,,,8.30581,,,,,,,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:09:48.42,2025-07-11T19:09:48.4255744-04:00,2025-07-11T23:09:48.4255744Z,,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,dd536380-f01c-4a92-8748-6b1149a39baf,54.61923,-131.7611,14.72638,5.16556,-1.35417,-10.84541,-1.46719,3.84625,-6.06886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-11,19:10:01.21,1,2,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Gomez, Dario",813380,Right,LAK_ERI24,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.25156,-1.7459,-2.548073,2322.769537,227.339178,1:30,5.07029,1.53456,5.90304,-22.02702,12.59288,12.36713,1.61188,0.19822,81.88286,-5.88748,-0.329207,0.423481,,,,,,,,,,,,-7.12485,7.33359,-1.33684,50,4.91731,5.29591,-130.85725,-4.70481,-12.24009,29.99155,-19.5753,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,2c561430-5eac-11f0-b252-cb217f1be21b,89.00613,,,8.3687,,,,,,,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:10:01.21,2025-07-11T19:10:01.2177408-04:00,2025-07-11T23:10:01.2177408Z,,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,e90f0626-e82a-41ce-9b8d-8ef5e269210f,54.5957,-131.90634,14.99577,5.06991,-4.02007,-9.78765,-1.52957,5.72406,-6.12004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-11,19:10:14.03,1,3,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Gomez, Dario",813380,Right,LAK_ERI24,Undefined,1,Top,0,1,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.86983,1.004878,-0.714132,2215.12236,75.565577,8:30,4.88232,1.73058,4.92386,-51.69334,-2.69728,-16.30757,1.52472,-0.30355,70.79354,-8.314305,-3.591719,0.503793,74.49456,-18.644157,-39.579261,,,,,6.25256,5.82125,-26.566546,0.045912,7.93272,-1.24764,-1.64647,50,4.93675,2.04044,-111.58206,0.12766,9.99399,20.21179,-33.7459,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,33fd27a0-5eac-11f0-b252-cb217f1be21b,74.81735,1.60684,,6.0763,,,,1.92173,1.60684,0.23802,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:10:14.03,2025-07-11T19:10:14.0384256-04:00,2025-07-11T23:10:14.0384256Z,GroundBall,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,928369a1-0610-47fd-8511-5386ee7b8908,55.57874,-112.58804,10.1059,4.8886,1.80728,-16.87295,-1.73565,1.54302,4.99699,180,1.92055,79.95039,,,,,,,,1.60736,-34.99851,,,,,,,,0.23899,-66.09198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-07-11,19:10:50.03,2,1,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Gonzalez, Alfredo",554054,Right,LAK_ERI24,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.06807,-1.235786,-2.104909,2364.075508,224.408997,1:30,5.22215,1.55777,5.96577,-21.18308,12.65973,11.27571,2.31012,0.54486,82.67899,-5.229123,-0.078915,0.418702,,,,,,,,,,,,-6.37929,7.20469,-1.39691,50,5.11238,4.36283,-132.11622,-3.53129,-11.19252,30.07536,-19.53343,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,494d8b90-5eac-11f0-b252-cb217f1be21b,90.0222,,,8.38908,,,,,,,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:10:50.03,2025-07-11T19:10:50.0347904-04:00,2025-07-11T23:10:50.0347904Z,,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,0b5d8739-61a4-425e-bcab-f77bebae28a5,54.53152,-133.14379,15.03768,5.22163,-2.8639,-9.76671,-1.5525,4.74524,-5.59626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-11,19:11:08.74,2,2,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Gonzalez, Alfredo",554054,Right,LAK_ERI24,Undefined,1,Top,1,0,1,Splitter,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,78.21474,0.414487,-3.938326,1113.192209,272.986918,3:00,5.04803,1.42879,5.53673,-45.43022,1.00232,8.8256,1.65052,-1.52268,71.81172,-7.884687,-2.368345,0.490437,,,,,,,,,,,,-5.54717,0.84595,-1.09259,50,5.05386,7.46118,-113.34691,-0.68128,-7.21731,20.69746,-31.07339,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,549fa5a0-5eac-11f0-b252-cb217f1be21b,76.85488,,,6.40302,,,,,,,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:11:08.74,2025-07-11T19:11:08.7475712-04:00,2025-07-11T23:11:08.7475712Z,,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,43424584-5495-4ab3-a3af-e309b1acff2d,54.96327,-114.24962,10.34873,5.05402,0.67397,-15.53669,-1.42487,7.77596,-3.60865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-11,19:11:22.55,2,3,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Gonzalez, Alfredo",554054,Right,LAK_ERI24,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.93114,1.731698,-0.031935,2121.296751,69.958308,8:15,4.86083,1.84443,5.02011,-51.01558,-3.67536,-13.93028,2.24425,0.65344,71.81699,-7.486917,-2.494046,0.495207,,,,,,,,,,,,6.90611,-1.86874,-1.82958,50,4.98531,0.62982,-113.14903,1.59148,8.98524,19.95201,-34.60541,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,5cb0c580-5eac-11f0-b252-cb217f1be21b,76.11454,,,6.11415,,,,,,,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:11:22.55,2025-07-11T19:11:22.5565696-04:00,2025-07-11T23:11:22.5565696Z,,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,44f4c386-ac02-4dfb-8365-530d8100b7d5,55.48203,-114.1116,9.97601,4.86825,3.26099,-17.3027,-1.84951,0.19634,4.49262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-11,19:11:40.38,2,4,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Gonzalez, Alfredo",554054,Right,LAK_ERI24,Undefined,1,Top,1,1,2,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.05644,0.585859,-1.016467,1152.560582,321.811157,4:45,5.07212,1.49884,5.17487,-52.82857,-4.38311,4.66441,1.22115,0.93094,70.76787,-8.980798,-0.188623,0.500954,71.81562,-17.515211,-73.760435,,,,,8.28221,4.0847,-52.573534,0.056632,-2.64484,-2.00162,-1.40803,50,5.08581,1.80354,-111.85056,-0.67497,-3.33702,20.93545,-34.69948,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,67762ff0-5eac-11f0-b252-cb217f1be21b,75.24129,1.79952,,6.28857,,,,3.43885,1.79952,-1.10263,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:11:40.38,2025-07-11T19:11:40.3883520-04:00,2025-07-11T23:11:40.3883520Z,GroundBall,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,5f9dbe5a-6544-4bf5-94a1-4fd6757568ab,55.32709,-112.84325,10.46772,5.07881,0.97035,-17.34974,-1.4973,1.96177,-1.66851,,3.43824,28.15753,,,,,,,,1.80021,-31.77587,,,,,,,,-1.10052,-96.66964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2025-07-11,19:12:02.26,2,5,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Gonzalez, Alfredo",554054,Right,LAK_ERI24,Undefined,1,Top,1,1,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.0852,-1.159535,-2.989964,2314.835504,231.867424,1:45,5.01032,1.45898,6.30134,-19.58363,12.40792,14.42713,2.30842,-0.09606,84.48862,-4.880433,-0.383854,0.407089,,,,,,,,,,,,-8.35233,7.11268,-1.2457,50,4.91561,6.43977,-135.05711,-3.33322,-15.31699,31.37355,-19.13044,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,74744c50-5eac-11f0-b252-cb217f1be21b,92.59025,,,8.59658,,,,,,,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:12:02.26,2025-07-11T19:12:02.2610000-04:00,2025-07-11T23:12:02.2610000Z,,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,a52fd799-4431-48f3-8b6b-c7c1d2645f63,54.19695,-136.02856,15.68677,5.00965,-2.74087,-9.56522,-1.45244,6.91405,-7.65849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.46886,2.544547,1.536051,1.008496,-0.53338,2.13918,0.10749,-1.45959,5.20592,2.93403,65.34855,6.70916,-59.43161,-1.41767,70.72116,-4.46404,5.27743,16.38733,-14.8135,2.82371,-69.60559,7.76845,High,High,High,,,High,Medium,High
9,2025-07-11,19:12:32.10,3,1,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Watkins, Jarrod",690214,Left,LAK_ERI24,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.14488,1.070276,-2.454869,1613.921417,286.685709,3:30,5.09441,1.47721,5.80186,-47.6951,-2.45264,13.38241,2.11627,0.30782,71.9092,-7.71199,-0.056248,0.484111,,,,,,,,,,,,-7.58638,-1.12307,-1.28355,50,5.15404,4.40883,-114.79276,0.59586,-10.00462,23.56596,-33.6551,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,8644b140-5eac-11f0-b252-cb217f1be21b,77.85916,,,7.23568,,,,,,,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:12:32.10,2025-07-11T19:12:32.1020416-04:00,2025-07-11T23:12:32.1020416Z,,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,9586b347-ea6f-460a-9f4c-fa6229a2c3b0,54.69814,-115.75323,11.78298,5.1018,1.96753,-16.82755,-1.47155,4.81658,-5.00231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-11,19:12:46.04,3,2,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Watkins, Jarrod",690214,Left,LAK_ERI24,Undefined,1,Top,2,0,1,Splitter,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.84206,1.601555,-2.662979,1173.328884,311.980855,4:30,5.17065,1.43459,5.54431,-52.39948,-5.1654,7.53367,2.30279,-0.42811,70.79326,-7.981605,-1.319953,0.494651,,,,,,,,,,,,-4.63181,-2.6411,-1.20892,50,5.27475,4.95599,-112.825,1.40622,-5.90597,22.59745,-35.54168,WAS_WIL3,LAK_ERI24,WildThingsPark,Independent,FRONT,20250711-WildThingsPark-1,8e906920-5eac-11f0-b252-cb217f1be21b,76.20001,,,7.0488,,,,,,,9d9c3d1d-94c7-4626-97c7-93a4728331ca,2025-07-11,23:12:46.04,2025-07-11T19:12:46.0432896-04:00,2025-07-11T23:12:46.0432896Z,,v3,,,,"Awtry, Marshall",1000274133,Right,WAS_WIL3,1d653cda-6adb-43ae-a65f-9e1589cb2b70,54.95603,-113.8133,11.29873,5.17926,2.96064,-17.77084,-1.43132,5.21429,-2.95299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
