PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-08-07,19:06:48.44,1,1,"Grace, Regi",681322,Right,WAS_WIL3,"Phelts, Cameron",1000065961,Left,WIN_CIT29,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.45107,-2.636208,-4.606891,2376.179689,206.442743,1:00,5.97269,2.11018,6.36061,-19.92068,15.0904,6.99036,1.87692,-1.55623,81.64364,-6.387653,-3.347356,0.425867,,,,,,,,,,,,-4.80504,8.86056,-1.77913,50,5.77159,10.05653,-128.17079,-6.48661,-8.0661,24.22461,-17.3,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,324134f0-73e3-11f0-8161-5914cd4eb4be,88.50749,,,6.80743,,,,,,,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:06:48.44,2025-08-07T19:06:48.4400000-04:00,2025-08-07T23:06:48.4400000Z,,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,83e84b66-24b3-4547-8310-6c988ea07b88,54.13929,-128.95075,12.11231,5.97148,-5.9296,-8.65,-2.1071,10.31624,-4.03305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-08-07,19:07:00.70,1,2,"Grace, Regi",681322,Right,WAS_WIL3,"Phelts, Cameron",1000065961,Left,WIN_CIT29,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.41857,-2.324618,-3.503811,2315.679805,206.83279,1:00,6.15344,2.10845,6.69059,-17.75422,16.22391,7.66052,2.54278,-0.46159,81.86825,-5.725978,-2.111603,0.419538,,,,,,,,,,,,-5.01591,9.54032,-1.87747,50,5.99082,7.65665,-129.75528,-5.72816,-8.55374,27.08099,-15.9047,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,39a41370-73e3-11f0-8161-5914cd4eb4be,89.84274,,,7.55033,,,,,,,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:07:00.70,2025-08-07T19:07:00.7060000-04:00,2025-08-07T23:07:00.7060000Z,,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,676a4b61-45c6-43b1-83b2-00e1cd1c5df7,53.80879,-130.54779,13.5405,6.15164,-5.26272,-7.95235,-2.1052,7.90697,-4.27687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-08-07,19:07:16.08,1,3,"Grace, Regi",681322,Right,WAS_WIL3,"Phelts, Cameron",1000065961,Left,WIN_CIT29,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.85514,-2.804028,-4.69179,2476.722861,196.444695,12:30,6.19579,1.8627,6.46963,-15.32985,18.05139,5.00721,2.33233,-2.03868,82.9961,-5.748648,-3.788452,0.415837,,,,,,,,,,,,-3.9337,10.55642,-1.53333,50,5.99021,10.59301,-131.51272,-6.84925,-6.88118,28.19857,-13.70786,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,42abef60-73e3-11f0-8161-5914cd4eb4be,90.64241,,,7.85904,,,,,,,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:07:16.08,2025-08-07T19:07:16.0860000-04:00,2025-08-07T23:07:16.0860000Z,,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,6b59bf13-0a32-4f2d-9ce3-54cb3948029a,54.02871,-132.37373,14.09929,6.19295,-6.4307,-6.85393,-1.85998,10.80312,-3.44059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-08-07,19:07:31.39,1,4,"Grace, Regi",681322,Right,WAS_WIL3,"Phelts, Cameron",1000065961,Left,WIN_CIT29,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.98724,-1.766628,-2.763936,2386.058411,203.908993,12:45,6.08589,2.2177,6.43268,-16.6554,18.1345,7.52225,3.07191,0.30238,80.93346,-4.975946,-1.402175,0.42452,92.12119,34.081688,6.38517,2028.758278,108.84945,65.40029,15.86768,354.54728,349.36136,11.756741,5.056339,-4.77622,10.36898,-2.02431,50,5.95242,5.94561,-129.15415,-4.41583,-8.01584,28.50876,-14.77198,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,4be51480-73e3-11f0-8161-5914cd4eb4be,88.78841,86.92553,,8.05378,,,,2.47964,3.23066,-0.31871,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:07:31.39,2025-08-07T19:07:31.3920000-04:00,2025-08-07T23:07:31.3920000Z,FlyBall,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,0b8b2dc5-712d-44f0-b9e3-4fc884c80012,54.06684,-130.04874,14.25438,6.08372,-3.95229,-7.38599,-2.21483,6.19714,-4.00792,208.82839,2.48542,111.08743,-18.18481,3.37251,-0.16145,-0.14406,0.04011,-0.00381,0.0001,3.22936,75.73775,-19.65787,1.53302,-0.25198,0.01722,0.00971,-0.00238,0.00015,-0.3171,12.41099,3.15611,-1.80898,0.68433,-0.21437,0.04798,-0.006,0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-08-07,19:08:05.90,2,1,"Grace, Regi",681322,Right,WAS_WIL3,"Sandle, Michael",688403,Right,WIN_CIT29,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.48062,-1.887512,-1.850644,2499.618474,195.799081,12:30,6.19652,2.02013,6.28333,-14.44434,19.27816,5.14307,3.25164,0.74246,82.4841,-4.678999,-0.921383,0.417957,,,,,,,,,,,,-3.18705,10.868,-1.88596,50,6.04993,4.03202,-131.36219,-4.69236,-5.55408,28.51659,-13.23427,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,605ccbb0-73e3-11f0-8161-5914cd4eb4be,90.18262,,,7.99652,,,,,,,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:08:05.90,2025-08-07T19:08:05.9070000-04:00,2025-08-07T23:08:05.9070000Z,,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,c07b8ac5-f5fb-4d5c-bb2e-2e93ff3de920,54.21438,-132.2739,14.25829,6.19319,-4.26925,-6.61714,-2.01771,4.2096,-2.77704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-08-07,19:08:19.02,2,2,"Grace, Regi",681322,Right,WAS_WIL3,"Sandle, Michael",688403,Right,WIN_CIT29,Undefined,1,Top,1,0,1,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.13263,-2.871023,-4.47458,2430.809746,186.165844,12:15,5.96911,2.22838,6.22265,-22.15793,12.71568,1.25693,1.46315,-1.80408,81.96333,-7.011879,-4.248694,0.42503,,,,,,,,,,,,-1.86213,7.71028,-1.89368,50,5.74245,10.04872,-129.05248,-7.16542,-3.14904,26.16114,-19.13512,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,6855cfb0-73e3-11f0-8161-5914cd4eb4be,88.68178,,,7.16929,,,,,,,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:08:19.02,2025-08-07T19:08:19.0240000-04:00,2025-08-07T23:08:19.0240000Z,,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,c601dbc3-bc97-4409-aceb-dab26c8d6caa,54.2764,-129.91649,13.08057,5.96866,-6.53346,-9.56756,-2.22727,10.15272,-1.57452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-08-07,19:08:33.71,2,3,"Grace, Regi",681322,Right,WAS_WIL3,"Sandle, Michael",688403,Right,WIN_CIT29,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.6783,-2.287376,-3.011974,2428.767789,203.329679,12:45,6.13264,2.20929,6.46976,-15.70335,17.72721,7.16839,2.71927,0.03788,82.63267,-5.312447,-1.7138,0.416144,71.70637,22.508571,170.396231,2937.414417,-109.44641,17.86435,11.02134,159.25386,59.30024,176.081178,1.99831,-4.64717,10.29197,-1.99992,50,5.96401,6.64279,-131.56711,-5.66692,-8.10979,29.06027,-14.21357,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,71097120-73e3-11f0-8161-5914cd4eb4be,90.57551,20.5253,,8.04563,,,,2.75842,2.61225,-0.10577,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:08:33.71,2025-08-07T19:08:33.7130000-04:00,2025-08-07T23:08:33.7130000Z,LineDrive,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,4d13d991-aead-4356-b1a6-fd583f5c0073,54.02986,-132.45423,14.53013,6.13038,-5.23303,-7.10678,-2.20648,6.89035,-4.05489,311.567146,2.75839,-95.79372,7.7766,-0.13977,-0.28071,0.39219,-0.25804,0.09159,-0.01337,2.61224,40.26141,-24.71863,2.75137,-0.6063,0.16988,-0.05714,0.01711,-0.00236,-0.10576,16.20834,-7.33819,1.40416,-0.20913,-0.07432,0.08039,-0.03027,0.00447,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-08-07,19:08:54.39,2,4,"Grace, Regi",681322,Right,WAS_WIL3,"Sandle, Michael",688403,Right,WIN_CIT29,Undefined,1,Top,1,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,75.72175,1.752019,-1.010058,2303.63203,50.833292,7:45,6.12068,2.22693,5.77539,-58.54653,-9.8989,-13.85087,2.87287,0.13271,70.20456,-8.91984,-3.493482,0.501998,,,,,,,,,,,,6.80882,-5.1041,-2.13501,50,6.22983,2.43921,-110.11233,1.50962,8.39374,18.80375,-38.46624,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,7d722b50-73e3-11f0-8161-5914cd4eb4be,75.08479,,,5.51719,,,,,,,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:08:54.39,2025-08-07T19:08:54.3940000-04:00,2025-08-07T23:08:54.3940000Z,,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,8f063205-52a4-4372-b28e-5941784b7c92,54.72913,-110.91698,9.40187,6.13001,3.15566,-19.23312,-2.2317,2.08002,4.19687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.13589,,,0.877808,,,,0.95267,5.38774,5.74163,75.23122,7.29792,49.55028,1.01796,93.16219,-9.79268,5.42522,15.40642,-15.10513,5.71665,49.46892,0.52184,High,High,High,,,High,Medium,High
9,2025-08-07,19:09:25.26,3,1,"Grace, Regi",681322,Right,WAS_WIL3,"Ruiz, Daryl",1000029311,Left,WIN_CIT29,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.00876,1.343284,-2.353831,2284.246419,34.607952,7:15,6.0995,2.15149,6.29615,-60.58625,-11.96981,-9.20004,2.28967,-0.78531,69.77619,-9.774609,-4.018874,0.501837,,,,,,,,,,,,4.17398,-6.19024,-1.97409,50,6.16939,4.78818,-109.12044,0.80491,5.05303,18.47478,-39.66802,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,8ff146d0-73e3-11f0-8161-5914cd4eb4be,75.10887,,,5.23257,,,,,,,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:09:25.26,2025-08-07T19:09:25.2690000-04:00,2025-08-07T23:09:25.2690000Z,,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,cf9f68e5-859a-49b3-b0d2-7ca07759e227,54.20891,-109.83072,9.23739,6.10913,2.32999,-19.83401,-2.15445,4.5939,2.52652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-08-07,19:09:39.25,3,2,"Grace, Regi",681322,Right,WAS_WIL3,"Ruiz, Daryl",1000029311,Left,WIN_CIT29,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.67465,-1.892637,-2.972181,2307.654371,213.178016,1:00,6.04795,2.28939,6.28873,-16.21548,16.52938,10.13501,2.94949,0.39245,83.91908,-4.989933,-1.142558,0.411854,74.89301,69.252129,-99.82681,5734.612933,,,,,10.0888,,,-6.12378,9.44595,-2.07527,50,5.90043,6.50379,-133.09136,-4.86091,-10.99753,28.23359,-15.21032,WAS_WIL3,WIN_CIT29,WildThingsPark,Independent,FRONT,20250807-WildThingsPark-1,98244690-73e3-11f0-8161-5914cd4eb4be,91.51902,27.79736,,7.75558,,,,2.28907,3.1047,-0.4273,a071ceb2-1017-456d-a3df-920e57d45fe5,2025-08-07,23:09:39.25,2025-08-07T19:09:39.2550000-04:00,2025-08-07T23:09:39.2550000Z,,v3,,,,"Wilson, Nolan",1000334186,Right,WAS_WIL3,134ef966-e405-4a79-bc49-7dcb546b2e49,54.21195,-133.98188,14.1168,6.04618,-4.38115,-7.60516,-2.28588,6.85067,-5.49876,20.222833,2.2921,-6.7972,-8.69432,,,,,,,3.10741,102.58033,-27.55238,,,,,,,-0.42777,-38.31815,3.73325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
