PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-22,18:38:52.56,1,1,"Duncan, Greg",827710,Right,WIN_CIT29,"Hacopian, Eddie",828612,Right,WAS_WIL3,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.21425,-0.850327,-2.518173,2440.632632,184.707548,12:15,5.50532,1.4813,4.87023,-21.82804,12.22772,0.9213,2.8808,-0.82645,84.56101,-4.856372,-2.356164,0.420017,,,,,,,,,,,,-1.1165,6.56748,-1.23422,50,5.40351,5.83339,-133.67713,-2.84739,-2.03045,27.45332,-20.23028,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,0563e800-6755-11f0-b436-81de2f98cce3,89.74026,,,7.65324,,,,,,,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:38:52.56,2025-07-22T18:38:52.5636096-05:00,2025-07-22T23:38:52.5636096Z,,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,549ef9df-9ec7-4e0b-a08b-23e48c4abbe4,55.62755,-134.82791,13.72666,5.50509,-1.99938,-10.11514,-1.48052,5.9185,-1.01523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-22,18:39:06.87,1,2,"Duncan, Greg",827710,Right,WIN_CIT29,"Hacopian, Eddie",828612,Right,WAS_WIL3,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,93.72163,-0.896736,-1.994289,2387.32494,243.227064,2:00,5.48812,1.55332,5.24456,-24.3099,8.41776,14.54749,2.61898,0.89065,85.32996,-5.379155,0.585623,0.411745,100.87357,8.157084,-17.038822,1805.276845,103.9052,8.17337,-36.10659,173.41766,144.3447,-20.283943,1.368557,-7.9063,4.77536,-1.38157,50,5.38783,4.04577,-135.92994,-3.07699,-14.72654,31.03736,-23.27932,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,0dfb4ee0-6755-11f0-b436-81de2f98cce3,91.54308,8.85809,,8.39167,,,,1.65356,2.6897,-0.85871,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:39:06.87,2025-07-22T18:39:06.8764160-05:00,2025-07-22T23:39:06.8764160Z,LineDrive,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,6e5a9eeb-05bf-4864-bee2-e2fac1d8eb3b,55.25543,-137.12468,15.51868,5.48903,-2.18088,-11.63966,-1.54822,4.61265,-7.36327,91.093428,1.65356,140.02259,-19.69592,3.17409,-0.6724,0.13074,-0.02571,0.0044,-0.00042,2.6897,20.99193,-18.90514,1.97323,-0.40668,0.09517,-0.01864,0.00312,-0.00031,-0.85871,-42.91297,-1.11673,0.85523,-0.24812,0.0653,-0.01455,0.00261,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-07-22,18:39:39.15,2,1,"Duncan, Greg",827710,Right,WIN_CIT29,"Watson, Ben",1000084299,Left,WAS_WIL3,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,93.50933,-1.051418,-2.74302,2485.164407,238.534674,2:00,5.43914,1.57349,5.05224,-23.86029,8.98162,13.05556,2.4579,0.07242,85.88636,-5.420905,-0.437902,0.412463,95.08023,23.132337,-31.76158,4368.950039,88.79337,38.92824,-64.92807,325.6625,279.46951,-43.985736,3.506531,-7.23142,5.02823,-1.32318,50,5.32008,5.87063,-135.63795,-3.44955,-13.55252,28.00418,-22.75058,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,213d1e20-6755-11f0-b436-81de2f98cce3,91.3837,46.18187,,7.62297,,,,1.06673,2.68697,-0.08881,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:39:39.15,2025-07-22T18:39:39.1597568-05:00,2025-07-22T23:39:39.1597568Z,FlyBall,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,99ac0182-6861-4363-bd03-0c88989245ca,55.44831,-136.7582,14.00209,5.43987,-2.53946,-11.37529,-1.56887,6.41277,-6.77626,,1.06683,109.02662,-23.04546,5.47645,-0.99533,0.10257,0.00215,-0.00253,0.0003,2.68679,54.79396,-18.82665,1.27064,-0.3442,0.16532,-0.05743,0.01139,-0.00093,-0.08864,-67.51197,-0.59048,1.00285,-0.21726,-0.01037,0.01542,-0.00319,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-07-22,18:40:25.21,3,1,"Duncan, Greg",827710,Right,WIN_CIT29,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.09346,1.244032,0.043562,2905.459666,33.744921,7:00,5.67166,1.80709,4.26517,-63.16318,-14.37202,-10.62993,1.59864,0.96295,71.84304,-9.953679,-1.81383,0.502738,,,,,,,,,,,,5.13268,-6.81075,-1.80022,50,5.74151,0.38566,-113.24582,-0.08075,6.64122,21.38134,-40.98658,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,3cbd5ed0-6755-11f0-b436-81de2f98cce3,74.97426,,,6.25042,,,,,,,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:40:25.21,2025-07-22T18:40:25.2119552-05:00,2025-07-22T23:40:25.2119552Z,,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,aaf26e4e-4871-425a-99c0-5606c809a956,56.23822,-114.41756,10.69067,5.68439,2.1654,-20.49329,-1.81138,0.02171,3.32061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-22,18:40:44.94,3,2,"Duncan, Greg",827710,Right,WIN_CIT29,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,1,1,0,Sinker,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.79959,0.611054,-0.473521,3086.453512,43.185472,7:30,5.69523,1.75133,4.83987,-57.14987,-12.62292,-13.13178,1.51136,0.20865,74.47829,-9.619582,-2.791693,0.480267,,,,,,,,,,,,6.35355,-6.01532,-1.69261,50,5.70606,1.53225,-117.30831,-0.96131,8.83139,22.70726,-40.53533,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,48801500-6755-11f0-b436-81de2f98cce3,78.48223,,,6.3213,,,,,,,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:40:44.94,2025-07-22T18:40:44.9437696-05:00,2025-07-22T23:40:44.9437696Z,,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,27725dd5-98d0-4fe0-a485-af52d10bee5a,55.66364,-118.39954,11.35363,5.70545,0.98667,-20.26766,-1.75605,1.10785,4.41569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-22,18:41:04.51,3,3,"Duncan, Greg",827710,Right,WIN_CIT29,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.29765,-2.102442,-2.37243,2561.061494,226.40231,1:30,5.4222,1.75619,4.85161,-24.62639,8.97441,8.48256,1.37714,0.21594,85.88586,-6.5594,-0.879297,0.417202,,,,,,,,,,,,-4.73248,5.18524,-1.52952,50,5.19346,5.14077,-133.97299,-5.93745,-8.75995,23.93948,-22.57609,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,5421fcc0-6755-11f0-b436-81de2f98cce3,90.34582,,,6.41178,,,,,,,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:41:04.51,2025-07-22T18:41:04.5110784-05:00,2025-07-22T23:41:04.5110784Z,,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,1826bbcb-41c7-4af5-b7c1-e147b7c15fcb,55.64938,-134.9787,11.96974,5.42297,-4.98902,-11.28804,-1.75322,5.50878,-4.37997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-22,18:41:31.90,3,4,"Duncan, Greg",827710,Right,WIN_CIT29,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,1,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.38543,-1.423487,-3.101888,2258.516219,254.573684,2:30,5.36333,1.80412,5.01756,-30.15132,2.95654,7.00953,1.50506,-0.54202,85.73612,-6.89006,-1.865131,0.41413,,,,,,,,,,,,-4.31142,2.16154,-1.51255,50,5.20244,6.99131,-135.32894,-4.63373,-8.0192,28.70955,-28.15362,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,6470cac0-6755-11f0-b436-81de2f98cce3,91.01594,,,7.64931,,,,,,,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:41:31.90,2025-07-22T18:41:31.9010304-05:00,2025-07-22T23:41:31.9010304Z,,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,1184720c-405d-445f-920c-db1c39c64b0d,55.48185,-136.48694,14.35478,5.36644,-3.49816,-14.07681,-1.80107,7.31476,-4.0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-22,18:41:53.07,3,5,"Duncan, Greg",827710,Right,WIN_CIT29,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,1,2,2,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.28193,-2.201424,-4.570558,2097.799636,255.707315,2:30,5.35641,1.97324,4.7794,-32.20962,5.04394,15.50855,0.57785,-1.07604,81.66753,-7.996351,-1.851365,0.439294,,,,,,,,,,,,-8.80756,3.33807,-1.52984,50,5.10727,9.49353,-127.75603,-6.23264,-14.71184,23.69071,-26.59824,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,711a3770-6755-11f0-b436-81de2f98cce3,85.80231,,,6.6144,,,,,,,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:41:53.07,2025-07-22T18:41:53.0719232-05:00,2025-07-22T23:41:53.0719232Z,,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,8f881fea-1f7e-4f75-bafc-0285bf89c0e3,55.72232,-128.81279,11.84535,5.35883,-5.04618,-13.29912,-1.96795,10.14978,-7.35592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-22,18:42:14.43,3,6,"Duncan, Greg",827710,Right,WIN_CIT29,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,94.14325,-1.11319,-2.17966,2511.927036,222.314211,1:30,5.43273,1.69711,5.17353,-22.27753,9.81772,8.09902,2.52784,0.31992,86.85033,-5.201101,-0.745972,0.407748,102.28104,6.191442,-28.41572,3091.885487,,,,127.26274,125.2139,-32.753234,0.970838,-4.60638,5.4563,-1.50065,50,5.31214,4.81793,-136.68972,-3.53709,-8.80571,27.1955,-21.74361,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,7dc66340-6755-11f0-b436-81de2f98cce3,92.44054,5.45556,,7.29292,,,,0.76514,2.22899,-0.20787,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:42:14.43,2025-07-22T18:42:14.4315904-05:00,2025-07-22T23:42:14.4315904Z,GroundBall,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,7c85d1ae-ce80-4de8-94ea-c90271707f56,55.32719,-137.74552,13.59775,5.43307,-2.69294,-10.8718,-1.69433,5.15979,-4.40286,82.711089,0.92045,128.97113,-20.41403,,,,,,,2.31311,14.98914,-17.9739,,,,,,,-0.15834,-71.68846,0.91504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-07-22,18:42:56.42,4,1,"Duncan, Greg",827710,Right,WIN_CIT29,"Lagrange, Wagner",664279,Right,WAS_WIL3,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.15167,2.691382,0.391619,3041.484694,53.298247,7:45,5.55601,1.72047,4.926,-55.71916,-9.51028,-14.6445,3.45897,0.87031,72.66311,-7.347299,-2.191443,0.489254,,,,,,,,,,,,7.30831,-4.96382,-1.74589,50,5.77168,-0.16337,-114.82794,3.30271,9.76822,21.04948,-38.80867,WIN_CIT29,WAS_WIL3,OzingaField,Independent,FRONT,20250722-OzingaField-1,96c465e0-6755-11f0-b436-81de2f98cce3,77.04066,,,6.48856,,,,,,,7f793957-9cd3-436d-bcba-a1065b39969a,2025-07-22,23:42:56.42,2025-07-22T18:42:56.4264960-05:00,2025-07-22T23:42:56.4264960Z,,v3,,,,"Beadle, Zach",1000238536,Right,WIN_CIT29,64e05866-30bb-4d9a-ab75-dc8e59d62215,55.57665,-115.8457,10.52474,5.56663,5.17914,-19.40434,-1.72657,-0.63567,4.88411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
