PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-27,13:02:55.08,1,1,"Foster, Kobe",816330,Left,WAS_WIL3,"Thompson, Dalen",701692,Right,FLO_Y'A,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,7139a2a0-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:02:55.08,2025-07-27T13:02:55.0820000-04:00,2025-07-27T17:02:55.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-07-27,13:02:56.08,1,2,"Foster, Kobe",816330,Left,WAS_WIL3,"Thompson, Dalen",701692,Right,FLO_Y'A,Undefined,1,Top,0,1,0,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,7698c1e0-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:02:56.08,2025-07-27T13:02:56.0820000-04:00,2025-07-27T17:02:56.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-07-27,13:02:57.08,1,3,"Foster, Kobe",816330,Left,WAS_WIL3,"Thompson, Dalen",701692,Right,FLO_Y'A,Undefined,1,Top,0,1,1,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,7b1dadc0-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:02:57.08,2025-07-27T13:02:57.0820000-04:00,2025-07-27T17:02:57.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-07-27,13:02:58.08,1,4,"Foster, Kobe",816330,Left,WAS_WIL3,"Thompson, Dalen",701692,Right,FLO_Y'A,Undefined,1,Top,0,1,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,839aaed0-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:02:58.08,2025-07-27T13:02:58.0820000-04:00,2025-07-27T17:02:58.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-07-27,13:02:59.08,1,5,"Foster, Kobe",816330,Left,WAS_WIL3,"Thompson, Dalen",701692,Right,FLO_Y'A,Undefined,1,Top,0,2,2,ChangeUp,,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,873c66a0-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:02:59.08,2025-07-27T13:02:59.0820000-04:00,2025-07-27T17:02:59.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-07-27,13:03:00.08,2,1,"Foster, Kobe",816330,Left,WAS_WIL3,"Reeves, TJ",1000259604,Right,FLO_Y'A,Undefined,1,Top,1,0,0,ChangeUp,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,8e456550-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:03:00.08,2025-07-27T13:03:00.0820000-04:00,2025-07-27T17:03:00.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-07-27,13:03:01.08,2,2,"Foster, Kobe",816330,Left,WAS_WIL3,"Reeves, TJ",1000259604,Right,FLO_Y'A,Undefined,1,Top,1,0,1,ChangeUp,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,92c2b010-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:03:01.08,2025-07-27T13:03:01.0820000-04:00,2025-07-27T17:03:01.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-07-27,13:03:02.08,2,3,"Foster, Kobe",816330,Left,WAS_WIL3,"Reeves, TJ",1000259604,Right,FLO_Y'A,Undefined,1,Top,1,0,2,ChangeUp,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,99c6ccc0-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:03:02.08,2025-07-27T13:03:02.0820000-04:00,2025-07-27T17:03:02.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-07-27,13:03:03.08,2,4,"Foster, Kobe",816330,Left,WAS_WIL3,"Reeves, TJ",1000259604,Right,FLO_Y'A,Undefined,1,Top,1,1,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,9dcf35a0-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:03:03.08,2025-07-27T13:03:03.0820000-04:00,2025-07-27T17:03:03.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-07-27,13:03:04.08,2,5,"Foster, Kobe",816330,Left,WAS_WIL3,"Reeves, TJ",1000259604,Right,FLO_Y'A,Undefined,1,Top,1,2,2,ChangeUp,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250727-WildThingsPark-1,a5cad1b0-6b00-11f0-82ab-db3b3e309a17,,,,,,,,,,,7cb1b7e4-687f-4169-9234-2b8958806436,2025-07-27,17:03:04.08,2025-07-27T13:03:04.0820000-04:00,2025-07-27T17:03:04.0820000Z,,v3,,,,"Siket, Jordan",1000336986,Right,WAS_WIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
