PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-19,19:50:34.06,1,1,"Wiltse, Ryan",813813,Right,EVA_OTT,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.30594,-3.798391,-2.096283,2155.825735,210.873511,1:00,6.21283,0.59534,5.82845,-18.9741,18.70907,10.46162,1.09316,-0.48241,79.23479,-7.363609,-0.221113,0.44182,,,,,,,,,,,,-5.94138,10.97957,-0.43045,50,5.89091,4.15471,-125.07137,-8.86866,-9.4285,24.79053,-14.75042,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,92de6650-4d70-11f0-92cb-05504268b0f0,85.3118,,,7.07114,,,,,,,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:50:34.06,2025-06-19T19:50:34.0678656-05:00,2025-06-20T00:50:34.0678656Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,01f3c464-d35d-420e-b7f2-1d1a72601bd1,54.67075,-125.99376,12.39527,6.21068,-8.31983,-7.37521,-0.59156,4.50552,-4.71425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-19,19:50:45.16,1,2,"Wiltse, Ryan",813813,Right,EVA_OTT,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,1,0,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,86.359,-2.263749,-0.774495,2179.977154,202.084858,12:45,6.22273,0.45548,5.85878,-19.07568,18.4991,7.0104,2.52864,0.32009,78.94203,-5.871442,0.483364,0.441184,89.41166,26.704696,-32.154939,,89.84176,45.55653,-63.47007,314.04031,292.96202,-40.735197,3.875359,-3.83252,10.49442,-0.39688,50,6.02801,1.41276,-125.35972,-5.51414,-6.08632,25.82425,-15.5082,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,99701220-4d70-11f0-92cb-05504268b0f0,85.43478,53.93171,,7.41697,,,,2.03517,2.65909,-0.30333,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:50:45.16,2025-06-19T19:50:45.1641856-05:00,2025-06-20T00:50:45.1641856Z,LineDrive,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,c69a68c0-9bc4-48b2-a878-2d4f8b876cd6,54.64025,-126.312,12.91212,6.2208,-4.94227,-7.7541,-0.45312,1.63719,-3.04316,,2.0345,99.20343,-20.26673,5.47816,-1.53288,0.45842,-0.11966,0.01925,-0.00128,2.65999,58.90337,-18.32269,0.58514,0.37883,-0.26033,0.08369,-0.01299,0.00077,-0.30314,-62.35322,2.75297,0.24763,-0.14158,-0.00228,0.01478,-0.00396,0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-06-19,19:51:29.26,2,1,"Wiltse, Ryan",813813,Right,EVA_OTT,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,0,0,0,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,86.44523,-1.582474,-0.845491,2138.759276,205.339527,12:45,6.32433,0.54698,5.65322,-16.42552,21.36568,9.53375,3.47911,0.55285,78.84456,-4.716244,0.857958,0.442453,,,,,,,,,,,,-5.10886,11.68835,-0.48167,50,6.18017,1.45553,-125.4829,-3.93388,-8.12564,25.97804,-13.58375,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,b3b317e0-4d70-11f0-92cb-05504268b0f0,85.18977,,,7.60067,,,,,,,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:51:29.26,2025-06-19T19:51:29.2627456-05:00,2025-06-20T00:51:29.2627456Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,6ea5c675-d27d-484d-a2a4-7a318dfddd55,54.84556,-126.48207,12.98902,6.32143,-3.41142,-6.79187,-0.54366,1.76806,-4.06282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-19,19:52:20.60,3,1,"Wiltse, Ryan",813813,Right,EVA_OTT,"Reed, Tyreque",676627,Right,WAS_WIL3,Undefined,1,Top,1,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.12306,1.96023,-1.468422,1920.700735,16.064197,6:30,6.23147,0.4029,5.70024,-74.66382,-20.12477,-6.3039,1.8374,-1.49105,66.36789,-11.599437,-2.599729,0.531527,,,,,,,,,,,,2.75158,-10.33709,-0.27569,50,6.34939,2.90588,-104.75786,1.26388,3.02232,19.60847,-43.52822,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,d26c6380-4d70-11f0-92cb-05504268b0f0,70.91354,,,5.75517,,,,,,,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:52:20.60,2025-06-19T19:52:20.6021632-05:00,2025-06-20T00:52:20.6021632Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,5884e669-7b08-4eb1-bcb1-69f4c2aad499,54.80526,-105.65348,9.80424,6.24626,3.25202,-21.76411,-0.40526,2.76783,1.51116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-19,19:52:38.49,3,2,"Wiltse, Ryan",813813,Right,EVA_OTT,"Reed, Tyreque",676627,Right,WAS_WIL3,Undefined,1,Top,1,1,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.60327,0.428578,-0.766852,1425.949051,232.709604,1:45,6.20116,0.60767,5.68175,-38.52045,8.16418,8.81126,3.39066,0.62708,71.22198,-6.681754,0.809394,0.491766,,,,,,,,,,,,-4.67158,4.48756,-0.54863,50,6.21321,1.17342,-112.71171,-0.35761,-6.01478,20.31838,-26.3962,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,dcee5c50-4d70-11f0-92cb-05504268b0f0,76.64713,,,6.3813,,,,,,,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:52:38.49,2025-06-19T19:52:38.4942080-05:00,2025-06-20T00:52:38.4942080Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,9081122f-d57e-49d4-912e-36db8582d00e,54.81606,-113.57657,10.15919,6.20452,0.76597,-13.1981,-0.60403,1.42944,-3.00739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-06-19,19:53:01.22,3,3,"Wiltse, Ryan",813813,Right,EVA_OTT,"Reed, Tyreque",676627,Right,WAS_WIL3,Undefined,1,Top,1,2,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.43822,-0.721018,-1.363626,2066.905761,87.001629,9:00,6.28829,0.56662,5.54115,-43.5968,1.17638,-3.66701,1.98113,-1.01365,73.29633,-8.669718,-2.018584,0.481593,,,,,,,,,,,,1.48197,1.21276,-0.44593,50,6.19681,2.8891,-115.36655,-2.91455,1.99983,21.20566,-30.53751,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,ea9785c0-4d70-11f0-92cb-05504268b0f0,78.26612,,,6.14189,,,,,,,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:53:01.22,2025-06-19T19:53:01.2250624-05:00,2025-06-20T00:53:01.2250624Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,9a515bc9-c5ab-4797-88e3-8a5674f0bc5f,54.95834,-116.27437,10.60283,6.2936,-1.60722,-15.26876,-0.56778,2.80349,0.99992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-19,19:53:21.83,3,4,"Wiltse, Ryan",813813,Right,EVA_OTT,"Reed, Tyreque",676627,Right,WAS_WIL3,Undefined,1,Top,1,2,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.60288,-1.145685,-1.670819,2139.827638,83.705056,8:45,6.27179,0.52867,5.45006,-45.1551,0.92165,-4.85492,1.43569,-1.44056,72.40526,-9.355438,-2.536605,0.488554,,,,,,,,,,,,1.9776,1.21748,-0.37771,50,6.13951,3.51578,-114.07044,-3.79738,2.59892,21.49239,-30.57407,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,f6ce5a80-4d70-11f0-92cb-05504268b0f0,77.15107,,,6.19761,,,,,,,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:53:21.83,2025-06-19T19:53:21.8326016-05:00,2025-06-20T00:53:21.8326016Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,2b88c1dd-3c03-4a70-88ef-30a012a4a711,55.04941,-115.01788,10.74619,6.2772,-2.44959,-15.28703,-0.53017,3.40121,1.29946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-19,19:53:43.36,3,5,"Wiltse, Ryan",813813,Right,EVA_OTT,"Reed, Tyreque",676627,Right,WAS_WIL3,Undefined,1,Top,1,3,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.7175,-1.951025,-1.389572,2024.969985,146.035965,10:45,6.18835,0.62924,5.79825,-36.66246,6.25067,-3.33323,1.31723,-0.94125,74.60022,-8.675958,-1.987699,0.471484,,,,,,,,,,,,1.33595,4.10638,-0.51298,50,6.00587,2.96951,-117.22122,-5.16537,1.86431,21.5517,-26.44368,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,03b25f30-4d71-11f0-92cb-05504268b0f0,79.94434,,,6.11728,,,,,,,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:53:43.36,2025-06-19T19:53:43.3655296-05:00,2025-06-20T00:53:43.3655296Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,fececc2c-1d4d-4b74-bc68-b84d3d5c6622,54.70131,-118.08242,10.77585,6.19116,-4.10869,-13.22184,-0.63015,2.89502,0.93216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-19,19:54:09.61,3,6,"Wiltse, Ryan",813813,Right,EVA_OTT,"Reed, Tyreque",676627,Right,WAS_WIL3,Undefined,1,Top,1,3,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.68223,-2.296707,-1.373315,2092.034227,200.113069,12:45,6.25756,0.56834,5.92049,-16.29131,19.28103,6.63559,2.76689,-0.15335,80.96101,-5.404102,-0.181851,0.429267,86.40391,52.098875,33.950583,5107.320904,,,,,31.44523,,,-3.81343,10.90926,-0.46227,50,6.06444,2.81273,-128.71231,-5.62548,-6.38244,27.2944,-13.91555,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,135d7320-4d71-11f0-92cb-05504268b0f0,87.80649,42.76109,,7.72121,,,,1.50895,3.22176,0.0476,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:54:09.61,2025-06-19T19:54:09.6132608-05:00,2025-06-20T00:54:09.6132608Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,c6e618cc-3600-4317-995a-e0da4cd8e1e7,54.57842,-129.67956,13.6472,6.25505,-5.13234,-6.95778,-0.56595,3.03891,-3.19122,,1.52423,64.09736,-16.50837,,,,,,,3.22073,100.03074,-16.66618,,,,,,,0.04901,43.43331,-3.21715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-06-19,19:54:55.39,3,7,"Wiltse, Ryan",813813,Right,EVA_OTT,"Reed, Tyreque",676627,Right,WAS_WIL3,Undefined,1,Top,1,3,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.0261,-0.14083,-0.48946,2011.551043,130.419604,10:15,6.15903,0.75435,5.79439,-38.119,4.55516,-3.78217,2.85144,-0.01613,74.3787,-7.168276,-1.167859,0.470169,,,,,,,,,,,,1.78795,2.78776,-0.71184,50,6.12473,1.15329,-117.71061,-1.52782,2.50742,22.43813,-28.26451,EVA_OTT,WAS_WIL3,Bosse,Independent,FRONT,20250619-Bosse-2,2ea65020-4d71-11f0-92cb-05504268b0f0,80.16789,,,6.6474,,,,,,,2dd6ed8f-a0c0-431e-af51-088868554ebb,2025-06-20,00:54:55.39,2025-06-19T19:54:55.3959424-05:00,2025-06-20T00:54:55.3959424Z,,v3,,,,"Brown, Logan",682204,Right,EVA_OTT,8a6a19ca-2e28-4b3f-817a-8a3a8e23e177,54.70379,-118.60386,11.21907,6.16316,-0.40262,-14.13226,-0.75576,1.05347,1.25371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
