PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-22,17:05:26.13,1,1,"Webster, Evan",804248,Left,FLO_Y'A,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.93927,-1.005834,4.012939,2107.538387,134.748738,10:30,5.5833,-2.79228,6.55382,-21.31517,15.04776,-13.93902,2.88239,-0.26825,78.96753,-5.079936,1.487649,0.434011,,,,,,,,,,,,8.46634,8.55319,2.52017,50,5.50446,-8.30909,-126.06235,-2.78206,13.53721,27.15161,-18.49797,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,9ef8f390-4fac-11f0-9b19-db26d749255a,86.84672,,,7.97175,,,,,,,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:05:26.13,2025-06-22T17:05:26.1355520-04:00,2025-06-22T21:05:26.1355520Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,4355fd35-4ce5-48e4-80eb-2e36774b935e,53.9438,-126.90893,13.57581,5.58221,-2.20529,-9.24899,2.78583,-8.73118,6.7686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-22,17:05:39.82,1,2,"Webster, Evan",804248,Left,FLO_Y'A,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.08894,1.205456,1.042598,1880.329624,285.502216,3:30,5.50399,-2.7374,6.1905,-54.47586,-1.15748,10.28886,2.07765,-0.91729,66.24571,-8.863571,2.90171,0.525545,58.97799,29.160678,161.662604,4411.071549,,,,131.93586,49.16487,166.048631,2.053846,-5.03445,-0.4598,2.65375,50,5.56749,-2.24175,-104.76591,0.70332,-5.56399,18.62946,-32.68222,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,a72e8b60-4fac-11f0-9b19-db26d749255a,71.72067,21.50721,,5.84322,,,,0.84239,1.98283,0.87611,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:05:39.82,2025-06-22T17:05:39.8296064-04:00,2025-06-22T21:05:39.8296064Z,LineDrive,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,19194b1e-80c9-47c0-8d19-e8074ee9430e,54.30996,-105.52952,9.31473,5.51121,2.04295,-16.34111,2.74096,-2.01368,-2.782,334.524151,0.84247,-71.70797,4.10184,-0.14527,0.6387,-0.75657,0.48826,-0.15732,0.0197,1.98283,42.14867,-24.76046,2.53736,-0.54411,0.16712,-0.06455,0.02205,-0.00337,0.87605,23.77038,-4.399,0.38316,-0.60443,0.66566,-0.42461,0.13676,-0.01717,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-06-22,17:05:57.99,1,3,"Webster, Evan",804248,Left,FLO_Y'A,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.28154,1.329295,0.772458,1917.620822,293.781073,3:45,5.59159,-2.65852,6.42829,-53.22924,-2.28646,8.73918,2.37794,-1.22023,67.50192,-8.545818,2.358765,0.513704,,,,,,,,,,,,-4.33516,-1.05748,2.59991,50,5.6628,-1.72036,-106.57317,1.02622,-4.97652,18.63568,-33.38799,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,b1e5ec10-4fac-11f0-9b19-db26d749255a,73.37388,,,5.77962,,,,,,,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:05:57.99,2025-06-22T17:05:57.9993600-04:00,2025-06-22T21:05:57.9993600Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,0d95d204-f4d9-47db-843e-7406a9fa37b4,54.07214,-107.28287,9.31784,5.5995,2.29773,-16.69399,2.66182,-1.53084,-2.48826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-22,17:06:12.51,1,4,"Webster, Evan",804248,Left,FLO_Y'A,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.67817,-0.403918,2.169306,1944.535973,141.200858,10:45,5.68446,-2.69783,6.58509,-21.60796,14.24851,-10.4293,3.51338,-1.57806,79.09671,-4.550697,0.274,0.430978,,,,,,,,,,,,6.12233,7.97717,2.55293,50,5.64761,-4.41127,-127.26356,-1.47091,9.89726,29.59865,-19.27826,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,ba83e2a0-4fac-11f0-9b19-db26d749255a,87.45792,,,8.58147,,,,,,,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:06:12.51,2025-06-22T17:06:12.5153792-04:00,2025-06-22T21:06:12.5153792Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,245768ca-5672-40bf-8830-ad379a4ba157,53.91047,-128.16982,14.79932,5.68361,-0.88064,-9.63913,2.69263,-4.71431,4.94863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-22,17:06:29.34,1,5,"Webster, Evan",804248,Left,FLO_Y'A,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.98144,-1.911538,5.039702,1940.061318,141.09178,10:45,5.67077,-2.61169,6.73137,-21.18867,15.20737,-11.22579,2.1508,1.07019,78.68308,-5.976188,3.004169,0.434209,,,,,,,,,,,,7.60122,9.0378,2.28296,50,5.53593,-10.70451,-125.91082,-4.75567,12.0408,28.72696,-17.85763,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,c49a2150-4fac-11f0-9b19-db26d749255a,86.80721,,,8.29836,,,,,,,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:06:29.34,2025-06-22T17:06:29.3419008-04:00,2025-06-22T21:06:29.3419008Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,bb886129-d32c-4132-87d5-fde5e8ae39a8,53.76815,-126.76762,14.36348,5.66983,-4.22305,-8.92882,2.60758,-11.06364,6.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-06-22,17:06:44.28,1,6,"Webster, Evan",804248,Left,FLO_Y'A,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,86.03717,-1.108317,3.275468,1910.04992,140.062935,10:45,5.65507,-2.6452,6.69559,-22.61993,14.53513,-11.05036,2.75479,-0.56753,77.66908,-5.448364,1.265537,0.438713,,,,,,,,,,,,6.92052,8.42126,2.43114,50,5.57217,-6.74266,-124.8133,-2.9984,10.7479,28.75018,-19.09542,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,cd89e160-4fac-11f0-9b19-db26d749255a,85.91596,,,8.36809,,,,,,,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:06:44.28,2025-06-22T17:06:44.2872832-04:00,2025-06-22T21:06:44.2872832Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,be04339e-9d41-42de-8236-580f107d6edf,53.80257,-125.68616,14.37509,5.6544,-2.41867,-9.54771,2.6408,-7.06897,5.37395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-22,17:07:22.15,2,1,"Webster, Evan",804248,Left,FLO_Y'A,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,0,0,0,Cutter,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,80.08508,-2.7118,5.864284,1955.308287,193.165553,12:30,5.46028,-2.67906,6.64406,-39.7186,3.5254,0.47795,-0.34679,2.7475,73.30486,-10.067791,5.950673,0.473298,,,,,,,,,,,,1.60374,3.11433,2.28214,50,5.26037,-11.89862,-115.69328,-6.59106,2.1454,24.20008,-28.00779,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,e41c6240-4fac-11f0-9b19-db26d749255a,79.63789,,,6.78022,,,,,,,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:07:22.15,2025-06-22T17:07:22.1591040-04:00,2025-06-22T21:07:22.1591040Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,717b5163-96a4-49a4-afcb-f14b618039a9,53.85543,-116.49695,12.10004,5.46382,-5.66094,-14.00389,2.67846,-11.96987,1.0727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-22,17:07:47.08,2,2,"Webster, Evan",804248,Left,FLO_Y'A,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.8893,-0.391903,2.559803,1917.073855,136.205545,10:30,5.66127,-2.59169,6.46226,-24.87852,13.24898,-11.4932,3.22772,-1.19664,77.2642,-5.113105,0.476641,0.444417,,,,,,,,,,,,6.73579,7.42221,2.41548,50,5.62244,-5.07628,-123.26965,-1.52956,10.30816,25.74423,-20.81545,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,f3025170-4fac-11f0-9b19-db26d749255a,84.81322,,,7.62511,,,,,,,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:07:47.08,2025-06-22T17:07:47.0857728-04:00,2025-06-22T21:07:47.0857728Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,df66c4ad-19dd-4083-befb-6385dd20827c,54.03522,-124.10952,12.87211,5.66126,-0.85049,-10.40772,2.58657,-5.41257,5.15408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-22,17:08:06.32,2,3,"Webster, Evan",804248,Left,FLO_Y'A,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,0,2,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.7253,-0.738261,3.665767,1849.680701,140.551619,10:45,5.65249,-2.61992,6.63536,-24.00615,14.08209,-10.54662,2.97468,-0.13818,77.13168,-5.311267,1.75124,0.444188,,,,,,,,,,,,6.57882,8.00504,2.37548,50,5.59254,-7.48299,-122.92193,-2.21452,10.01684,25.4716,-19.98564,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,fe5de160-4fac-11f0-9b19-db26d749255a,84.85694,,,7.59363,,,,,,,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:08:06.32,2025-06-22T17:08:06.3255552-04:00,2025-06-22T21:08:06.3255552Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,5470484c-6038-4f30-b2a2-29d0628b6873,53.86149,-123.71951,12.7358,5.65209,-1.58872,-9.99282,2.6147,-7.79664,5.00842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-22,17:08:26.77,2,4,"Webster, Evan",804248,Left,FLO_Y'A,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.71774,-0.019181,3.984092,1877.858868,137.48805,10:30,5.67328,-2.38678,6.52948,-24.24214,13.76162,-11.53764,3.63547,0.31249,77.55905,-4.614466,1.895497,0.443695,93.43177,29.954479,-0.764359,3095.230005,109.88493,58.41203,-5.02875,378.41893,375.41747,-6.678625,4.960195,7.17036,7.58398,2.11454,50,5.66133,-8.14952,-122.97183,-0.69665,11.00023,23.95836,-20.53923,FLO_Y'A,WAS_WIL3,ThomasMoreStadium,Independent,FRONT,20250622-ThomasMoreStadium-1,0aa7a1e0-4fad-11f0-9b19-db26d749255a,84.9512,81.47667,,7.15869,,,,1.81894,3.6718,-0.29884,992bd025-6d1f-4b25-b629-ac1a21baf5cb,2025-06-22,21:08:26.77,2025-06-22T17:08:26.7770368-04:00,2025-06-22T21:08:26.7770368Z,FlyBall,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,a79d9730-517f-4efd-87a2-4378b4b1801f,53.97042,-123.74297,11.97918,5.67311,-0.03556,-10.26961,2.38254,-8.50358,5.50012,160.910461,1.82049,118.6851,-19.44012,4.26193,-0.74486,0.11064,-0.01684,0.00217,-0.00013,3.67193,68.42115,-16.64535,0.95586,-0.11365,-0.0251,0.01661,-0.00295,0.00018,-0.29856,-1.59071,-3.41989,0.78268,-0.12949,0.01427,-0.00115,0.00011,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
