PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-13,19:16:09.56,1,1,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Urbaez, Jackie",689603,Left,OTT_TIT,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.80706,1.087331,-1.931378,1984.361456,216.886981,1:15,5.66244,1.48309,5.75166,-24.46198,14.13729,9.59756,4.63688,0.48421,77.39073,-3.525965,-0.214931,0.447158,,,,,,,,,,,,-5.43362,7.24024,-1.32841,50,5.73807,3.78161,-124.37324,1.59753,-8.41406,27.59838,-20.96246,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,41327c70-3050-11f0-ae50-f9e8aecd25d9,84.29336,,,8.41634,,,,,,,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:16:09.56,2025-05-13T19:16:09.5666176-04:00,2025-05-13T23:16:09.5666176Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,9ba6b1a8-628b-45c5-8629-0440e3cd1263,54.74364,-125.42143,13.79919,5.66228,2.39369,-10.48123,-1.4781,4.10118,-4.20703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-13,19:16:23.59,1,2,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Urbaez, Jackie",689603,Left,OTT_TIT,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.044,0.374139,-1.633918,1996.657228,218.055278,1:15,5.59553,1.27821,5.83136,-23.15521,15.21721,10.82906,4.01385,0.66141,77.42253,-4.015345,0.306566,0.445842,,,,,,,,,,,,-5.99768,8.03355,-1.151,50,5.61263,3.09541,-124.73353,0.11429,-9.30709,28.60659,-19.70771,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,498d7690-3050-11f0-ae50-f9e8aecd25d9,84.54212,,,8.62147,,,,,,,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:16:23.59,2025-05-13T19:16:23.5985920-04:00,2025-05-13T23:16:23.5985920Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,5b090ce9-a2cb-4b3f-8cd5-4ff23ae50751,54.6637,-125.79856,14.30329,5.59472,0.84801,-9.85386,-1.27269,3.44192,-4.65354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-13,19:16:38.27,1,3,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Urbaez, Jackie",689603,Left,OTT_TIT,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.38585,-0.228135,-2.351796,1991.003374,227.816321,1:30,5.36712,1.61617,5.88001,-23.02135,14.06572,14.05957,3.23662,0.60246,78.80559,-4.582014,0.169148,0.438311,,,,,,,,,,,,-7.86823,7.64154,-1.43396,50,5.33554,4.59868,-126.67999,-1.21625,-12.61726,29.06492,-19.9203,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,524d25f0-3050-11f0-ae50-f9e8aecd25d9,85.99465,,,8.58026,,,,,,,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:16:38.27,2025-05-13T19:16:38.2773760-04:00,2025-05-13T23:16:38.2773760Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,602cb950-e338-464c-987c-7585774d7998,54.61607,-127.73469,14.53246,5.36657,-0.49339,-9.96015,-1.60915,5.05653,-6.30863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-13,19:16:51.73,1,4,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Urbaez, Jackie",689603,Left,OTT_TIT,Undefined,1,Top,0,2,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.0034,-0.951171,-3.323899,1995.727024,232.9355,1:45,5.35435,1.53909,5.9888,-25.9921,12.21575,14.34717,2.30523,-0.34937,77.63934,-5.844433,-0.74827,0.444885,96.98862,60.425364,41.393284,3581.975825,,,,,64.32367,,,-8.48351,6.97394,-1.28478,50,5.26499,6.66436,-124.6217,-2.87271,-13.14566,28.47331,-21.36754,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,5a6f5cd0-3050-11f0-ae50-f9e8aecd25d9,84.72402,110.75831,,8.36406,,,,2.64648,2.50888,0.41901,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:16:51.73,2025-05-13T19:16:51.7387264-04:00,2025-05-13T23:16:51.7387264Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,12ac78da-a830-407d-b1c9-551b21253dc9,54.51014,-125.64794,14.23666,5.35465,-2.10258,-10.68377,-1.53352,7.13816,-6.57283,195.568762,2.64648,52.66948,-18.213,5.57344,-1.45696,0.35232,-0.06044,-0.00183,0.00304,2.50888,123.71654,-28.51291,3.55656,-0.66829,0.12681,-0.03479,0.01197,-0.00249,0.41901,46.42344,-7.59517,1.83624,-0.39768,0.08755,-0.01671,0.00159,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2025-05-13,19:17:26.43,1,5,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Urbaez, Jackie",689603,Left,OTT_TIT,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.42118,-0.609159,-2.962828,2099.412088,220.371532,1:15,5.38372,1.48082,5.96632,-20.45702,14.15792,10.96942,3.11339,-0.35463,81.39046,-4.496642,-0.994491,0.423451,72.82489,13.230422,-169.461363,1104.424862,,,,126.12964,60.95098,-169.806176,1.357265,-6.58819,7.82248,-1.25191,50,5.32414,6.31105,-131.02964,-2.02692,-11.27576,31.69787,-18.78577,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,6f14dac0-3050-11f0-ae50-f9e8aecd25d9,89.01252,10.31822,,9.03073,,,,0.77228,3.11743,0.33884,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:17:26.43,2025-05-13T19:17:26.4331264-04:00,2025-05-13T23:17:26.4331264Z,LineDrive,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,391eee68-aebf-4a34-aaf0-33b4f702a540,54.53111,-132.12123,15.84893,5.3828,-1.37998,-9.39288,-1.47593,6.69936,-5.63788,3.431165,0.77228,-102.2208,8.82551,-1.27495,0.27033,-0.04352,0.00874,-0.00159,0.00013,3.11743,24.44529,-21.7757,1.9353,-0.38829,0.07815,-0.01274,0.00232,-0.00026,0.33884,-19.01681,1.85629,-0.16132,0.04368,-0.00458,0.00128,-0.00019,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-05-13,19:17:45.86,1,6,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Urbaez, Jackie",689603,Left,OTT_TIT,Undefined,1,Top,0,2,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.32068,-1.50883,-1.785466,2233.953764,227.853772,1:30,5.28582,1.53663,5.98194,-20.75611,13.2867,13.26087,2.15657,0.98618,81.9544,-5.450083,0.598842,0.419937,,,,,,,,,,,,-7.33579,7.68709,-1.40248,50,5.15525,3.53242,-132.32037,-4.13692,-12.74711,33.4735,-18.81654,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,7ab2cae0-3050-11f0-ae50-f9e8aecd25d9,89.75736,,,9.36628,,,,,,,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:17:45.86,2025-05-13T19:17:45.8600000-04:00,2025-05-13T23:17:45.8600000Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,fb7b19a6-8594-4199-88d4-0cf30bcb90ae,54.51311,-133.45718,16.73675,5.2849,-3.49788,-9.40827,-1.5298,3.96533,-6.37356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.33178,2.719949,1.684378,1.035571,-1.50933,1.8708,-1.02012,-4.84591,6.13651,5.22852,66.44381,9.04277,58.33867,-4.75076,75.9292,-6.90403,6.19018,17.55115,-14.26967,5.25092,53.8552,-2.49497,High,High,High,,,High,Medium,High
7,2025-05-13,19:18:16.32,2,1,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Oyama, Jo",814456,Left,OTT_TIT,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.94016,-1.309609,-2.73171,2105.020041,225.41275,1:30,5.31354,1.4526,6.17061,-22.27403,13.07623,12.00808,2.24619,-0.07173,80.5106,-5.527994,-0.567131,0.427925,101.8131,2.816459,13.515202,1973.464306,,,,67.94295,66.22406,14.216407,0.480558,-7.09914,7.53827,-1.25182,50,5.20298,5.67116,-129.00167,-3.6235,-11.8212,29.80187,-19.62161,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,8cd23a30-3050-11f0-ae50-f9e8aecd25d9,88.08183,2.75072,,8.42956,,,,1.17886,2.24299,-0.01168,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:18:16.32,2025-05-13T19:18:16.3297280-04:00,2025-05-13T23:18:16.3297280Z,GroundBall,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,dc8b4a42-db0a-4520-a83f-e37464adbb89,54.32842,-129.99777,14.90093,5.31313,-2.96766,-9.8108,-1.44797,6.06628,-5.9106,329.725829,1.19434,144.58289,-20.90316,,,,,,,2.26297,6.7777,-23.98428,,,,,,,-0.01511,34.9528,-0.4019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
8,2025-05-13,19:18:49.43,3,1,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Briggs, Lamar",811615,Right,OTT_TIT,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.62823,-1.509013,-3.626942,2195.485641,219.242957,1:15,5.56048,1.21158,6.17669,-19.92139,15.18139,11.32792,2.50364,-1.19847,80.52764,-5.317348,-1.588099,0.426424,,,,,,,,,,,,-6.98965,8.70686,-0.94233,50,5.43605,7.73957,-129.73887,-3.99527,-11.70374,31.59811,-17.59492,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,a07da0b0-3050-11f0-ae50-f9e8aecd25d9,88.39183,,,9.10059,,,,,,,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:18:49.43,2025-05-13T19:18:49.4377472-04:00,2025-05-13T23:18:49.4377472Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,2b49b52e-2bf2-42f0-b881-9c42a58d3105,54.31845,-130.7864,15.79906,5.55883,-3.41197,-8.79746,-1.20534,8.12757,-5.85187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-13,19:19:05.55,3,2,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Briggs, Lamar",811615,Right,OTT_TIT,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.79129,-1.518714,-3.304588,1920.235322,259.695808,2:45,5.52702,1.12169,6.05759,-39.61219,4.54047,16.48639,0.81761,-0.56657,72.6894,-8.853321,-0.335373,0.478244,,,,,,,,,,,,-9.60284,3.22244,-0.87381,50,5.38758,6.08092,-115.67621,-4.27044,-12.85478,24.00344,-27.86033,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,aa328580-3050-11f0-ae50-f9e8aecd25d9,78.81419,,,7.10189,,,,,,,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:19:05.55,2025-05-13T19:19:05.5547392-04:00,2025-05-13T23:19:05.5547392Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,594cc18a-15e1-45b2-a984-d412606b3179,54.44297,-116.5945,12.00172,5.53056,-3.20459,-13.93016,-1.11586,6.5727,-6.42739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-13,19:19:24.74,3,3,"Divalerio, Jordan",8901170,Right,WAS_WIL3,"Briggs, Lamar",811615,Right,OTT_TIT,Undefined,1,Top,2,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.29836,-0.862686,-2.584953,1692.816892,282.849864,3:30,5.41758,1.29585,6.09085,-46.75014,-1.86646,15.36769,0.72286,0.18373,71.90118,-9.501051,0.18902,0.482187,,,,,,,,,,,,-8.87497,-0.28378,-1.10477,50,5.3263,4.63889,-115.01245,-3.16651,-11.65003,25.30753,-32.54655,WAS_WIL3,OTT_TIT,WildThingsPark,Independent,FRONT,20250513-WildThingsPark-1,b59f2c70-3050-11f0-ae50-f9e8aecd25d9,78.16971,,,7.39717,,,,,,,5d335b84-b3c0-47b0-af9b-490cf6c1d218,2025-05-13,23:19:24.74,2025-05-13T19:19:24.7463936-04:00,2025-05-13T23:19:24.7463936Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,ce6531d0-92fe-44e6-809d-ec5d960f24ef,54.40986,-115.97875,12.65377,5.42347,-1.92382,-16.27327,-1.29038,5.08371,-5.82501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
