PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-31,19:39:28.33,1,1,"Perez, Marlon",800211,Left,WAS_WIL3,"Craig, Alec",691468,Left,SCH_BOO,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.52861,-1.310959,2.351217,2095.191012,153.944512,11:15,5.81782,-1.70651,5.87417,-19.4404,21.53915,-9.90221,2.97893,-0.34665,75.61032,-5.003784,0.576453,0.460739,,,,,,,,,,,,5.67532,11.74816,1.52191,50,5.70037,-4.52648,-119.7893,-3.26459,8.27168,22.47625,-15.05131,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,7e83cd50-3e78-11f0-965c-9baf1956eb7d,81.80867,,,6.91829,,,,,,,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:39:28.33,2025-05-31T19:39:28.3360000-04:00,2025-05-31T23:39:28.3360000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,c15e41e0-f624-4c36-9334-9f517d91d1a6,54.62375,-120.65374,11.23812,5.81479,-2.68571,-7.52566,1.70211,-4.84461,4.13584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-31,19:39:41.64,1,2,"Perez, Marlon",800211,Left,WAS_WIL3,"Craig, Alec",691468,Left,SCH_BOO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.35833,-1.281012,1.349528,2291.358382,156.62953,11:15,5.97126,-1.71967,5.7393,-14.60824,22.96194,-9.41682,3.56056,-1.24754,79.05768,-4.088142,-0.335127,0.441157,,,,,,,,,,,,5.12776,12.35989,1.61304,50,5.85564,-2.55599,-125.40029,-3.18131,8.19216,24.57306,-12.4278,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,86727110-3e78-11f0-965c-9baf1956eb7d,85.44001,,,7.30065,,,,,,,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:39:41.64,2025-05-31T19:39:41.6480000-04:00,2025-05-31T23:39:41.6480000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,5c02d85f-90e3-4c5b-ab6f-667d9928438f,54.75864,-126.32933,12.28653,5.96703,-2.71145,-6.2139,1.71553,-2.86571,4.09608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-31,19:39:55.46,1,3,"Perez, Marlon",800211,Left,WAS_WIL3,"Craig, Alec",691468,Left,SCH_BOO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.33273,-2.757839,3.511049,2208.138351,141.753412,10:45,5.82356,-1.7147,5.78754,-21.8169,16.39442,-12.05902,1.43302,0.55086,79.08008,-6.815986,1.355118,0.444905,,,,,,,,,,,,7.0641,9.39603,1.43272,50,5.58263,-7.12124,-123.78346,-6.65217,11.10248,21.70589,-17.40656,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,8ec506c0-3e78-11f0-965c-9baf1956eb7d,84.72017,,,6.25266,,,,,,,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:39:55.46,2025-05-31T19:39:55.4670000-04:00,2025-05-31T23:39:55.4670000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,375f34ac-a6ea-49ce-8c86-8f7a91a6a1ca,54.71432,-124.60739,10.85294,5.8226,-5.99143,-8.70328,1.71104,-7.54268,5.55124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-31,19:40:09.95,1,4,"Perez, Marlon",800211,Left,WAS_WIL3,"Craig, Alec",691468,Left,SCH_BOO,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,83.66899,-1.169145,2.395145,2109.234119,137.960904,10:30,5.69624,-1.80276,5.89546,-25.271,14.28328,-11.84501,2.50375,-0.56482,77.28918,-5.878621,0.270213,0.452656,75.82775,62.757128,1.51022,,109.36026,98.41718,-11.84502,142.41569,69.24197,-6.873739,5.53834,6.69737,7.97233,1.61682,50,5.58741,-4.62702,-121.57442,-3.2569,10.12169,21.6547,-20.12553,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,976d3680-3e78-11f0-965c-9baf1956eb7d,83.26953,124.08709,,6.37981,,,,1.18995,2.21155,0.33042,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:40:09.95,2025-05-31T19:40:09.9590000-04:00,2025-05-31T23:40:09.9590000Z,Popup,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,7acc88d7-0d48-44b9-a607-e42d2ea178b9,54.60535,-122.39197,10.82735,5.69603,-2.49708,-10.06276,1.79872,-5.00915,5.06084,171.76366,1.19747,50.74594,-14.59592,3.55875,-0.13521,-0.20833,0.06755,-0.00892,0.00044,2.19816,99.10155,-24.89532,3.30694,-1.02859,0.27534,-0.04609,0.00384,-0.00011,0.32908,1.36379,-3.57827,1.33539,-0.31063,0.04098,-0.00073,-0.0005,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2025-05-31,19:40:42.90,2,1,"Perez, Marlon",800211,Left,WAS_WIL3,"Gould, Michael",10034549,Right,SCH_BOO,Undefined,1,Top,1,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,71.95535,1.403482,0.574597,2246.934531,273.913078,3:15,5.77415,-1.70019,5.36487,-55.09586,0.95972,15.9269,2.49919,0.16586,65.12481,-8.686529,3.407561,0.538866,55.04094,69.880262,122.14967,4921.849981,,,,,69.48317,,,-7.84965,0.53453,1.63665,50,5.86109,-1.62266,-104.27062,0.85607,-8.46469,20.88634,-31.59762,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,ab1800c0-3e78-11f0-965c-9baf1956eb7d,69.9477,64.99761,,6.83054,,,,2.49664,2.74823,-0.09638,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:40:42.90,2025-05-31T19:40:42.9040000-04:00,2025-05-31T23:40:42.9040000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,6befeba9-c51e-450f-b695-f69664aeec68,55.13453,-105.29409,10.44317,5.78121,2.40441,-15.79881,1.706,-1.20787,-4.23235,344.427437,2.49654,-14.771,-6.11466,3.12462,-1.19143,0.5429,-0.22771,0.05835,-0.00616,2.74811,75.8063,-27.45104,3.54118,-0.86714,0.30358,-0.1107,0.023,-0.0018,-0.09638,23.51045,-2.16993,0.17667,0.07954,-0.0858,0.04988,-0.01593,0.002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-05-31,19:41:02.15,2,2,"Perez, Marlon",800211,Left,WAS_WIL3,"Gould, Michael",10034549,Right,SCH_BOO,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.52658,0.003258,1.677723,2299.530178,300.664076,4:00,5.83035,-1.5264,5.39338,-56.6131,-5.16603,11.45953,1.11565,1.00136,68.73414,-10.247093,3.719577,0.51624,,,,,,,,,,,,-5.35071,-2.26595,1.36802,50,5.79018,-3.58296,-108.20034,-1.81485,-6.30515,19.93688,-34.84416,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,b68a4d00-3e78-11f0-965c-9baf1956eb7d,73.01341,,,5.79244,,,,,,,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:41:02.15,2025-05-31T19:41:02.1590000-04:00,2025-05-31T23:41:02.1590000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,6afa3ee0-d0d1-480b-8ae3-085bd4d6975a,55.10956,-109.13776,9.96844,5.83699,-0.1765,-17.42208,1.52952,-3.2865,-3.15258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-31,19:41:17.73,2,3,"Perez, Marlon",800211,Left,WAS_WIL3,"Gould, Michael",10034549,Right,SCH_BOO,Undefined,1,Top,1,1,1,Curveball,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,71.96416,0.889137,1.286178,2229.200555,277.244436,3:15,5.68419,-1.63777,5.78939,-53.47908,0.32118,9.67815,2.05502,0.36545,66.78388,-8.893178,3.021342,0.527915,84.84165,12.631895,-3.357003,1560.220953,109.9932,13.2504,-1.22219,183.40104,183.40104,1.072816,1.841471,-4.64362,0.34032,1.52579,50,5.72484,-2.67258,-104.62569,0.06752,-5.17377,16.80018,-31.79489,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,bfdacab0-3e78-11f0-965c-9baf1956eb7d,71.39874,13.57753,,5.18028,,,,2.3077,2.20011,-0.32116,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:41:17.73,2025-05-31T19:41:17.7320000-04:00,2025-05-31T23:41:17.7320000Z,LineDrive,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,69f014ff-55e6-4c82-8ffb-caedf01b3627,54.71296,-105.37975,8.40009,5.68978,1.49461,-15.89745,1.64054,-2.44036,-2.58688,249.180972,2.3077,121.2139,-17.04063,3.43788,-0.64429,0.08381,-0.00278,-0.00201,0.00041,2.20011,27.2121,-17.04725,0.9555,-0.03258,-0.01544,0.00768,-0.001,4E-05,-0.32116,-7.11012,8.54074,-3.07216,0.88887,-0.20787,0.04133,-0.00572,0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-05-31,19:41:49.67,3,1,"Perez, Marlon",800211,Left,WAS_WIL3,"Fedko, Christian",1000027196,Right,SCH_BOO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.4126,-2.161815,2.338273,2239.516477,148.794842,11:00,5.87841,-1.60437,6.10327,-18.84729,19.37812,-10.95745,2.30593,-0.35385,77.77337,-5.759023,0.365233,0.444987,,,,,,,,,,,,6.34512,11.02107,1.43022,50,5.7021,-4.62832,-123.90076,-5.18637,9.81157,25.97476,-15.13202,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,d2dc83b0-3e78-11f0-965c-9baf1956eb7d,84.70457,,,7.63923,,,,,,,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:41:49.67,2025-05-31T19:41:49.6720000-04:00,2025-05-31T23:41:49.6720000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,7b6875e1-9cf3-4a24-8055-e4ca579571c4,54.39528,-124.81879,12.98738,5.87595,-4.65156,-7.56601,1.59993,-4.97509,4.90579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-31,19:42:02.93,3,2,"Perez, Marlon",800211,Left,WAS_WIL3,"Fedko, Christian",1000027196,Right,SCH_BOO,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,76.09435,0.696054,2.583306,1603.544659,133.594171,10:30,5.69131,-1.49777,5.80527,-37.12427,11.85942,-10.65241,3.24565,0.01864,68.93451,-6.22966,0.676521,0.503729,89.47019,-3.360266,-19.124963,2761.988166,,,,33.83123,33.40155,-18.008269,0.249618,6.27666,6.31339,1.29222,50,5.7265,-4.59162,-110.3145,0.26564,7.6411,21.83628,-24.48825,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,dac72fd0-3e78-11f0-965c-9baf1956eb7d,74.82679,3.40731,,7.15984,,,,2.40438,3.40731,-0.02732,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:42:02.93,2025-05-31T19:42:02.9380000-04:00,2025-05-31T23:42:02.9380000Z,GroundBall,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,ddeb5c03-1d79-4bcc-8117-ea4b4a7c3cd8,54.69314,-111.2396,10.91814,5.69327,1.3031,-12.24413,1.49361,-4.91534,3.82055,10.640524,2.40583,123.68984,-17.7916,,,,,,,3.40988,-7.82825,-23.40447,,,,,,,-0.02751,-42.90872,4.4844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-05-31,19:44:14.63,1,1,"Cook, Cole",1000161363,Left,SCH_BOO,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Bottom,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.54478,-1.509316,1.417484,2334.777428,124.588281,10:15,6.2316,-0.61545,6.17176,-27.51777,9.09532,-11.6443,2.54369,-0.27634,79.95789,-6.629386,-0.685259,0.435502,,,,,,,,,,,,6.38386,5.43638,0.51388,50,6.10325,-2.65717,-125.83268,-4.18108,10.31529,23.67048,-23.38972,WAS_WIL3,SCH_BOO,WildThingsPark,Independent,FRONT,20250531-WildThingsPark-2,29276d20-3e79-11f0-965c-9baf1956eb7d,86.5495,,,6.58689,,,,,,,ecad787c-e8ad-4c52-9463-da552427799a,2025-05-31,23:44:14.63,2025-05-31T19:44:14.6380000-04:00,2025-05-31T23:44:14.6380000Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,ad7bc337-707f-4b49-8882-a456eb6ee583,54.32848,-126.6443,11.83524,6.23286,-3.37909,-11.69486,0.61105,-3.01086,5.15764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
